City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,usinsk,65.9939,57.5281,-2.23,94,100,9.56,RU,1675984165
315,necochea,-38.5473,-58.7368,20.86,73,0,5.18,AR,1675984165
316,roura,4.7263,-52.3274,24.95,88,75,3.09,GF,1675984166
317,fort nelson,58.8053,-122.7002,-7.25,76,100,0.45,CA,1675984167
318,toora-khem,52.4675,96.11,-23.51,100,97,0.32,RU,1675984167
319,mount isa,-20.7333,139.5,26.87,61,1,4.63,AU,1675984168
320,yerbogachen,61.2767,108.0108,-23.3,99,100,1.22,RU,1675984168
321,betare oya,5.6,14.0833,22.13,22,8,1.91,CM,1675984169
322,preobrazheniye,42.9019,133.9064,-6.1,64,100,0.65,RU,1675984170
323,hervey bay,-25.2986,152.8535,26.64,62,12,9.41,AU,1675983839
324,santa barbara,34.7333,-120.0343,22.05,29,0,3.6,US,1675984170
325,san carlos,9.6612,-68.5827,27.39,60,100,2.23,VE,1675984171
326,wabag,-5.4781,143.7021,14.34,99,100,0.44,PG,1675984171
327,delfzijl,53.33,6.9181,2.86,91,100,1.79,NL,1675984172
328,massakory,12.996,15.7293,23.65,8,86,5.46,TD,1675984172
329,tocopilla,-22.092,-70.1979,22.55,78,70,1.95,CL,1675984172
330,richards bay,-28.783,32.0377,22.56,92,100,3.32,ZA,1675984173
331,santa lucia,27.9117,-15.5407,12.65,63,20,2.57,ES,1675984173
332,ust-kuyga,70.0167,135.6,-48.55,99,88,2.27,RU,1675984174
333,cap-aux-meules,47.3821,-61.8597,-6.97,68,75,5.66,CA,1675983901
334,rock springs,41.5875,-109.2029,-5.31,65,0,7.72,US,1675984175
335,mayumba,-3.432,10.6554,26.34,86,95,2.23,GA,1675984176
336,karla,59.3723,24.9275,1.43,88,100,6.17,EE,1675984176
337,lethem,3.3803,-59.7968,28.85,54,81,4.47,GY,1675984177
338,portland,45.5234,-122.6762,16.42,47,20,7.2,US,1675983580
339,rio claro,-22.4114,-47.5614,22.38,83,10,1.33,BR,1675984178
340,tsentoroy,43.0064,46.2231,-9.93,93,57,0.87,RU,1675984178
341,port pirie,-33.1833,138.0167,23.96,59,0,2.78,AU,1675984178
342,sao filipe,14.8961,-24.4956,20.57,81,100,5.21,CV,1675984179
343,iracoubo,5.4802,-53.2011,24.85,84,38,5.18,GF,1675984179
344,southbridge,42.0751,-72.0334,6.79,77,100,2.24,US,1675984180
345,hirtshals,57.5881,9.9592,3.99,67,76,12.75,DK,1675984180
346,hambantota,6.1241,81.1185,23.53,83,96,4.24,LK,1675984181
347,solwezi,-12.1688,26.3894,15.25,98,94,2.1,ZM,1675984181
348,port blair,11.6667,92.75,23.55,73,91,3.7,IN,1675984181
349,chilca,-12.5211,-76.7372,23.05,88,44,3.14,PE,1675984182
350,bacolod,10.6667,122.95,24.83,85,59,4.11,PH,1675984086
351,takoradi,4.8845,-1.7554,26.13,88,86,2.97,GH,1675984182
352,bure,10.7,37.0667,15.39,50,6,2.1,ET,1675984183
353,tilichiki,60.4667,166.1,-23.56,88,100,6.23,RU,1675984183
354,celestun,20.8667,-90.4,25.46,79,14,5.19,MX,1675984184
355,burdur,37.7203,30.2908,-5.61,74,0,1.03,TR,1675984184
356,melilla,35.2937,-2.9383,14.21,67,75,8.23,ES,1675984184
357,bairiki,1.3292,172.9752,31.0,70,20,6.17,KI,1675984185
358,selikhino,50.3672,137.4996,-23.27,97,100,1.51,RU,1675984185
359,kemi,65.8596,24.8228,-0.13,93,20,7.2,FI,1675984185
360,batagay-alyta,67.8006,130.4114,-41.6,97,93,1.16,RU,1675984186
361,coahuayana,18.7333,-103.6833,28.95,50,4,2.8,MX,1675984186
362,samsun,41.25,36.3333,4.44,69,75,1.03,TR,1675984187
